image_url,description,country,weather,time_of_day,season,activity,mood
https://commons.wikimedia.org/wiki/File:Dom_of_the_Rock-10.JPG,"A clear image of the Dome of the Rock in Jerusalem, showcasing its iconic golden dome. It is one of the most important Islamic and historical landmarks in Palestine.",Palestine,Sunny,Afternoon,summer,Sightseeing,Romantic
https://upload.wikimedia.org/wikipedia/commons/e/eb/Cave_of_the_Patriarchs%2C_Hebron_2007.jpg,"a clear image of the Ibrahimi Mosque (Cave of the Patriarchs) in Hebron, one of the oldest and most significant religious and historical sites in Palestine.",Palestine,Sunny,Morning,spring,Sightseeing,Curious
https://upload.wikimedia.org/wikipedia/commons/3/3b/https://upload.wikimedia.org/wikipedia/commons/3/3c/Ruins_by_Seabastia_06.jpg,"A clear image of the ancient ruins in Sebastia near Nablus, showing stone columns and archaeological remains from the Roman period under a bright blue sky.",Palestine,Sunny,Afternoon,summer,Exploring,Excited
https://upload.wikimedia.org/wikipedia/commons/0/02/2012%D8%AF%D9%8A%D8%B1_%D9%85%D8%A7%D8%B1%D8%B3%D8%A7%D8%A8%D8%A7.jpg,"A clear image of Mar Saba Monastery in Bethlehem, built dramatically along the cliffside of the desert valley, showcasing its ancient stone architecture.",Palestine,Sunny,Afternoon,summer,Sightseeing,Curious
https://upload.wikimedia.org/wikipedia/commons/c/cf/Ziko.jpg,"A clear aerial view of Tell es-Sultan in Jericho, showing the archaeological mound, excavation areas, and surrounding desert landscape.",Palestine,Sunny,Morning,spring,Exploring,Curious
https://upload.wikimedia.org/wikipedia/commons/b/b0/Eiffel_Tower_in_Paris_on_19_July_2024_02.jpg,"A night view of the Eiffel Tower illuminated in golden lights against a dark blue sky, highlighting its detailed iron structure from a low-angle perspective.",France,Not Clear,Afternoon,not clear,Sightseeing,Romantic
https://upload.wikimedia.org/wikipedia/commons/f/fa/Great_Wall_of_China_July_2006.JPG,A bright and clear view of the Great Wall of China stretching across lush green mountains under a blue sky with scattered white clouds.,China,Sunny,Morning,summer,Hiking,Excited
https://upload.wikimedia.org/wikipedia/commons/9/91/Eriyadu_Island._View_from_the_west._Maldives.jpg,"A bright and peaceful beach view in the Maldives, showing crystal-clear turquoise water, white sand, and lush tropical trees, with a wooden walkway leading to the island.",Maldives,Sunny,Afternoon,summer,Relaxing,Happy
https://images.unsplash.com/photo-1478436127897-769e1b3f0f36,Walking through the endless vermilion torii gates of Fushimi Inari Shrine.,Japan,Sunny,Morning,spring,Hiking,Romantic
https://images.unsplash.com/photo-1570077188670-e3a8d69ac5ff,White buildings with blue domes overlooking the calm Aegean Sea.,Greece,Sunny,Afternoon,summer,Relaxing,Happy
https://images.unsplash.com/photo-1526392060635-9d6019884377,The ancient Incan citadel set high in the Andes Mountains.,Peru,Cloudy,Morning,not clear,Sightseeing,Excited
https://images.unsplash.com/photo-1533632359083-018577794406,The turquoise waters of Moraine Lake surrounded by snowy peaks.,Canada,Sunny,Afternoon,summer,Hiking,Excited
https://images.unsplash.com/photo-1516426122078-c23e76319801,Elephants walking through the tall grass of the savanna.,Tanzania,Sunny,Afternoon,fall,Sightseeing,Curious
https://images.unsplash.com/photo-1496442226666-8d4d0e62e6e9,The bright neon lights and crowds of Times Square.,United States,Not Clear,Evening,winter,Sightseeing,Excited
https://images.unsplash.com/photo-1582967788606-a171f1080ca8,Vibrant coral reefs teeming with underwater life.,Australia,Sunny,Morning,summer,Water Activities,Curious
https://images.unsplash.com/photo-1531366936337-7c912a4589a7,Green aurora borealis dancing over a snowy landscape.,Iceland,Snowy,Evening,winter,Relaxing,Calm
